Name;;MED;type;pages
Macaguán;;Miguel Lobo-Guerrero and Xochitl Herrera 2000;grammar_sketch;14
Machiguenga;;Betty Snell 2011;grammar_sketch;448
Machinere;;dos Santos Silva, Edineida 2013;grammar_sketch;140
Macuna;;Samper Martínez, Yoana 1982;grammar_sketch;103
Macushi;;Williams, James 1932;long_grammar;416
Madi;;R. M. W. Dixon 2004;long_grammar;656
Malayo;;Williams, Cindy 1993;grammar;182
Mamaindé;;David M. Eberhard 2009;long_grammar;608
Mapudungun;;Havestadt, Bernhard 1777;long_grammar;977
Marúbo;;Kennell, Jr., Gerald Raymond 1978;grammar_sketch;47
Matipuhy;;Karl von den Steinen 1894;wordlist_or_less;37
Matsés;;David W. Fleck 2003;long_grammar;1278
Matís;;Rogério Vicente Ferreira 2005;long_grammar;341
Maxakalí;;Campos, Carlo Sandro de Oliveira 2009;long_grammar;328
Mehináku;;de Felipe, Paulo Henrique Pereira Silva 2020;long_grammar;504
Minica Huitoto;;Minor H., Eugenio and Minor, Dorotea Hendrich de and Levinsohn, Stephen 1982;grammar;134
Mocoví;;Gualdieri, Cecilia Beatriz 1998;long_grammar;329
Movima;;Katharina Haude 2006;long_grammar;614
Mundurukú;;Crofts, Marjorie 1985;long_grammar;334
Murui Huitoto;;Wojtylak, Katarzyna I. 2017;long_grammar;637
Nadëb;;E. M. Helen Weir 1984;long_grammar;346
Nhengatu;;da Cruz, Aline 2011;long_grammar;652
Nivaclé;;Stell, Nélida Noemi 1989;long_grammar;574
Nomatsiguenga;;Wise, Mary Ruth 1968;grammar_sketch;183
Nukak Makú;;Hess, Richard and Kenneth W. Conduff and Jan Ellen Conduff 2005;grammar_sketch;142
Palenquero;;William M. Megenney 1986;grammar;280
Palikúr;;Michel Launey 2003;grammar;256
Panará;;Dourado, Luciana Gonçalves 2001;grammar;255
Panoan Katukína;;de Aguiar, Maria Suelí 1994;long_grammar;405
Parakanã;;Souza e Silva, Auristéa Caetana 1999;grammar_sketch;120
Parecís;;da Silva, Glauber Romling 2013;long_grammar;603
Pará-Maranhão Gavião;;Marília de Nazaré de Oliveira Ferreira 2003;grammar;266
Paumari;;Shirley Chapman and Desmond C. Derbyshire 1991;grammar;194
Peruvian Sign Language;;{No Author Stated} 2015;phonology_or_text;344
Piapoco;;Klumpp, Deloris A. 2019;long_grammar;479
Pilagá;;Alejandra Vidal 2001;long_grammar;409
Playero;;Randall Q. Huber and Robert B. Reed 1992;wordlist_or_less;3
Puinave;;Higuita, Jesús Mario Girón 2008;long_grammar;496
Pumé;;Guerreiro de Pirela, Yandira Coromoto 2016;grammar_sketch;183
Rikbaktsa;;Silva, Leia de Jesus 2011;long_grammar;387
Sanapaná;;Silva Gomes, Antonio Almir 2013;grammar;57
Sanumá;;Donald M. Borgman 1990;grammar;234
Sateré-Mawé;;da Silva, Raynice Geraldine Pereira 2010;long_grammar;329
Secoya;;Orville E. Johnson and Stephen E. Levinsohn 1990;grammar;113
Siona-Tetete;;Martine Bruil 2014;long_grammar;397
Siriano;;Linda Criswell and Beverly Brandrup 2000;grammar_sketch;24
Southern Nambikuára;;Kroeker, Menno H. 2003;grammar;121
Suruahá;;Suzuki, Márcia 2002;phonology_or_text;
Suruí;;Bontkes, Willem 1988;grammar_sketch;17
Suruí Do Pará;;Lopes, Jorge Domingues 2014;grammar_sketch;201
Suyá;;Marymarcia Guedes 1992;grammar;277
Tacana;;Nicolas Armentia 1902;grammar_sketch;170
Tanimuca-Retuarã;;Eraso Keller, Natalia María 2015;long_grammar;528
Tapieté;;Hebe A. González 2005;long_grammar;418
Tapirapé;;Neiva Praça, Wilkíria 2007;long_grammar;303
Tatuyo;;Elsa Gomez-Imbert 1982;long_grammar;378
Teko;;Françoise Rose 2003;long_grammar;698
Tenharim-Parintintin-Diahoi;;Betts, LaVera 1981;grammar_sketch;163
Toba-Maskoy;;Unruh, Ernesto and Hannes Kalisch and Manolo Romero 2003;grammar_sketch;356
Tocantins Asurini;;Márcia M. Damaso Vieira 1993;grammar_sketch;145
Trinidad and Tobago Sign Language;;Parks, Jason 2011;wordlist_or_less;9
Trinitario-Javeriano-Loretano;;Pedro Marban 1701;grammar_sketch;620
Trió;;Sérgio Meira 1999;long_grammar;726
Tsafiki;;Connie Dickinson 2002;long_grammar;451
Tungurahua Highland Quichua;;Willem F. H. Adelaar and Pieter Muysken 2004;grammar_sketch;6
Tuparí;;Singerman, Adam Roth 2018;long_grammar;443
Tuyuca;;Karn, Gloria J. 1976;grammar_sketch;86
Urarina;;Knut Olawsky 2006;long_grammar;961
Uru-Eu-Wau-Wau;;Vezzaro, Antônia de Fátima Galdino da Silva 2015;grammar_sketch;
Urubú-Kaapor;;Garcia Lopes, Mário Alexandre 2009;long_grammar;302
Uruguayan Sign Language;;Behares, Luis Ernesto and Nellys Monteghirfo and D. Davis 1988;wordlist_or_less;
Wa'ikhana;;Waltz, Carolyn and Waltz, Nathan 2015;grammar_sketch;44
Waimaha;;Stolte, Nancy I. and Stolte, Joel A. 1976;phonology_or_text;11
Waimiri-Atroari;;Ana Carla Bruno 2003;grammar;185
Waiwai;;Robert E. Hawkins 1998;grammar;200
Waorani;;Peeke, M. Catherine 1979;grammar;126
Wari';;Daniel L. Everett and Barbara Kern 1997;long_grammar;530
Waurá;;Postigo, Adriana Viana 2014;grammar;244
Wayampi;;Copin, François 2012;long_grammar;483
Wayana;;Tavares, Petronila da Silva 2005;long_grammar;472
Western Bolivian Guaraní;;Bret Gustafson 2014;grammar_sketch;21
Western Tunebo;;Márquez, María Elena and Aguablanca, Esperanza (Berichá) and Jesús Olza 1988;wordlist_or_less;1
Woun Meu;;Sánchez A., Micaela and Binder, Ronald E. and Castro G., Olga 1977;grammar;175
Xerénte;;Sinval Martins de Sousa Filho 2007;long_grammar;331
Xingú Asuriní;;Pereira, Antonia Alves 2009;long_grammar;341
Xokleng;;Nanblá Gakrán 2015;grammar;284
Yagua;;Payne, Doris Lander 1985;long_grammar;441
Yanahuanca Pasco Quechua;;Escobar, Alberto 1967;phonology_or_text;18
Yanesha';;Tripp, Martha D. 1997;grammar;283
Yanomám;;Perri Ferreira, Helder 2017;long_grammar;779
Ye'kwana;;Cáceres, Natália 2011;long_grammar;476
Yine;;Rebecca Hanson 2010;long_grammar;412
Yucuna;;Stanley Schauer and Junia Schauer and Eladio Yucuna and Walter Yucuna 2005;grammar_sketch;164
Yuqui;;Villafañe, Lucrecia 2004;long_grammar;380
Yuracaré;;Erik van Gijn 2006;long_grammar;372
Yurutí;;Rodney Kinch and Pamela Kinch 2000;grammar_sketch;20
Zo'é;;Carvalho, Carlos Alberto L. and Edward G. Luz and Onésimo M. Castro 1993;phonology_or_text;
